activity_identifier,sector_code,sector_name,vocabulary,vocabulary_uri,percentage
XM-DAC-46008-cfa011459,11,Transporte,99,https://www.caf.com/sectores-iati,
XM-DAC-46008-cfl0000003412,9,Sector financiero,99,https://www.caf.com/sectores-iati,
XM-DAC-46008-cfa011191,11,Transporte,99,https://www.caf.com/sectores-iati,
XM-DAC-46008-cfa011189,3,"Agua, saneamiento, preservación de recursos hídricos y gestión de residuos",99,https://www.caf.com/sectores-iati,
XM-DAC-46008-cfa008748,9,Sector financiero,99,https://www.caf.com/sectores-iati,
XM-DAC-46008-cfa007990,12,Multisectorial,99,https://www.caf.com/sectores-iati,
XM-DAC-46008-cfl0000002469,9,Sector financiero,99,https://www.caf.com/sectores-iati,
XM-DAC-46008-cfa011827,3,"Agua, saneamiento, preservación de recursos hídricos y gestión de residuos",99,https://www.caf.com/sectores-iati,
XM-DAC-46008-cfa012093,7,Protección y servicios sociales,99,https://www.caf.com/sectores-iati,
XM-DAC-46008-cfa008741,4,"Educación, cultura y deporte",99,https://www.caf.com/sectores-iati,
XM-DAC-46008-cfa011456,4,"Educación, cultura y deporte",99,https://www.caf.com/sectores-iati,
XM-DAC-46008-cfa012334,3,"Agua, saneamiento, preservación de recursos hídricos y gestión de residuos",99,https://www.caf.com/sectores-iati,
XM-DAC-46008-cfa010061,3,"Agua, saneamiento, preservación de recursos hídricos y gestión de residuos",99,https://www.caf.com/sectores-iati,
XM-DAC-46008-cfl0000003683,9,Sector financiero,99,https://www.caf.com/sectores-iati,
XM-DAC-46008-cfl0000003580,9,Sector financiero,99,https://www.caf.com/sectores-iati,
XM-DAC-46008-cfa009759,3,"Agua, saneamiento, preservación de recursos hídricos y gestión de residuos",99,https://www.caf.com/sectores-iati,
XM-DAC-46008-cfa011906,12,Multisectorial,99,https://www.caf.com/sectores-iati,
XM-DAC-46008-cfa010209,3,"Agua, saneamiento, preservación de recursos hídricos y gestión de residuos",99,https://www.caf.com/sectores-iati,
XM-DAC-46008-cfa009272,11,Transporte,99,https://www.caf.com/sectores-iati,
XM-DAC-46008-cfa011790,11,Transporte,99,https://www.caf.com/sectores-iati,
XM-DAC-46008-cfl0000003406,9,Sector financiero,99,https://www.caf.com/sectores-iati,
XM-DAC-46008-cfa011061,11,Transporte,99,https://www.caf.com/sectores-iati,
XM-DAC-46008-cfl0000003492,9,Sector financiero,99,https://www.caf.com/sectores-iati,
