activity_identifier,result_ref,indicator_ref,indicator_measure,ascending,aggregation_status,title,description,baseline_year,baseline_iso_date,baseline_value,baseline_comment
XM-DAC-46007-500270,result_1,result_1_24,1,1,,Efectos,Empleos fijos,Cantidad de personas con contrato de tiempo indefinido empleadas directamente en la operación del proyecto.,2018,,1101
XM-DAC-46007-500645,result_6,result_6_11,1,1,,Salud,Camas hospitalarias censables y no censables,"Cantidad de camas censables y no censables brindadas por el proyecto al hospital, clínica o centro de salud. Las camas censables son las camas de hospitalización utilizadas de forma regular para pacientes internos, controladas por admisión. Las camas no censables (o de tránsito) son para atenciones transitorias y de corta estancia, como observación o inicio de tratamiento. ",2020,,0
XM-DAC-46007-500744,result_1,result_1_23,1,1,,OPD,"Implementación de políticas, acciones, iniciativas, acuerdos - OPD","Cantidad de políticas, acciones, iniciativas, acuerdos, entre otros, implementadas en el marco de una Operación de Política de Desarrollo (OPD).",2022,,21
XM-DAC-46007-500213,result_1,result_1_6,1,1,,Agua y Sanemiento,Conexiones domiciliarias de agua potable,Cantidad de conexiones domiciliarias de agua potable nuevas y rehabilitadas como parte del proyecto.,2016,,0
XM-DAC-46007-500995,result_2,result_2_12,1,1,,Salud,Área de construcción - salud,Cantidad de metros cuadrados construidos y rehabilitados por el proyecto correspondientes a infraestructura orientada a la atención del sector salud.,2023,,0
XM-DAC-46007-500645,result_7,result_7_17,1,1,,Víal,Puentes nuevos - rehabilitados,Cantidad de puentes contruidos y/o rehabilitados dentro del proyecto.,2020,,0
XM-DAC-46007-500627,result_2,result_2_5,1,1,,Energía,Líneas de transmisión eléctrica nuevas,Número de kilómetros de líneas de transmisión eléctrica para conducción instaladas como parte del proyecto. Este indicador solo se utiliza si es una ampliación de la red existente o la construcción de una nueva red.,2021,,71.3
XM-DAC-46007-500507,result_3,result_3_4,1,1,,Energía,Conexiones de energía,Cantidad de derivaciones o conexiones construidas desde la red de distribución del servicio eléctrico hacia la edificación o propiedad donde se hará uso de la energía eléctrica.,2020,,0
XM-DAC-46007-501079,result_2,result_2_21,1,1,,Financiero,Mipymes - asociaciones (financiamiento directo),"Cantidad de personas jurídicas y asociaciones que obtuvieron financiamiento directo para propósitos de producción, riego, entre otros.  ",2023,,0
XM-DAC-46007-500338,result_2,result_2_28,1,1,,Efectos,Beneficiarios,"Número de personas, empresas, organizaciones  beneficiadas directamente de los programas, proyectos y servicios financieros facilitados por el Banco.",2018,,0
