activity_identifier,location_ref,location_reach,location_id_vocabulary,location_id_code,name,name_lang,description,description_lang,activity_description,activity_description_lang,latitude,longitude,exactness,location_class,feature_designation,administrative_vocabulary,administrative_level,administrative_code,administrative_country
XI-IATI-IADB-AR-L1255,,,G1,,"Argentina,Mendoza,Vera",,,,,es,"-33.2218729,",-68.5227548,,,,G1,1,7,
XI-IATI-IADB-AR-L1255,,,G1,,"Argentina,Mor n",,,,,es,"-34.6510527,",-58.6217416,,,,G1,1,7,
XI-IATI-IADB-AR-L1255,,,G1,,"Argentina,Santa Fe",,,,,es,"-30.3154739,",-61.1645076,,,,G1,1,7,
XI-IATI-IADB-AR-L1255,,,G1,,"Argentina,Santa Fe,Las Heras",,,,,es,"-32.9130254,",-60.8607159,,,,G1,1,7,
XI-IATI-IADB-AR-L1255,,,G1,,"Argentina,Santa Fe,Tres de Febrero",,,,,es,"-32.7439006,",-60.734105,,,,G1,1,7,
XI-IATI-IADB-AR-L1255,,,G1,,"Argentina,Santa Fe,Vera",,,,,es,"-29.4569103999999,",-60.2040318065134,,,,G1,1,7,
XI-IATI-IADB-AR-L1255,,,G1,,"Argentina,Tres de Febrero",,,,,es,"-34.5718841,",-58.4251892,,,,G1,1,7,
XI-IATI-IADB-AR-L1255,,,G1,,"Argentina,Vera",,,,,es,"-29.4569103999999,",-60.2040318065134,,,,G1,1,7,
XI-IATI-IADB-AR-L1366,,,G1,,"Argentina, HIPOLITO YRIGOYEN 1439, CIUDAD DE BUENOS AIRES",,,,,es,"-34.609934806,",-58.386782535391,,,,G1,1,7,
XI-IATI-IADB-AR-L1333,,,G1,,"Argentina, BALCARCE 24 PISO 1, CIUDAD AUTONOMA DE BUENOS AIRES",,,,,es,"-34.60802078032,",-58.370920132451,,,,G1,1,7,
XI-IATI-IADB-AR-L1283,,,G1,,"Argentina,Capital",,,,,es,"-31.5333655,",-68.53848791,,,,G1,1,7,
XI-IATI-IADB-AR-L1283,,,G1,,"Argentina,Federal",,,,,es,"-51.5967428,",-72.22151246,,,,G1,1,7,
XI-IATI-IADB-AR-L1292,,,G1,,"Argentina, AV. HIP LITO YRIGOYEN 250, PISO 5, CIUDAD AUT NOMA DE BUENOS AIRES",,,,,es,"-34.60890000435,",-58.370220036418,,,,G1,1,7,
XI-IATI-IADB-AR-L1045,,,G1,,"Argentina,Entre R os",,,,,es,"-31.6252842,",-59.3539578,,,,G1,1,7,
XI-IATI-IADB-AR-L1045,,,G1,,"Argentina,Formosa",,,,,es,"-24.5955306,",-60.4289718,,,,G1,1,7,
XI-IATI-IADB-AR-L1045,,,G1,,"Argentina,Victoria",,,,,es,"-34.4541012,",-58.5407091,,,,G1,1,7,
XI-IATI-IADB-AR-L1121,,,G1,,"Argentina, CALLE 8, ENTRE 45 Y 46, LA PLATA",,,,,es,"-34.902320378325,",-57.968967414157,,,,G1,1,7,
XI-IATI-IADB-AR-L1144,,,G1,,"Argentina, AV. PTE. JULIO A. ROCA 738, CIUDAD AUT NOMA DE BUENOS AIRES",,,,,es,"-34.61200000933,",-58.376509984199,,,,G1,1,7,
XI-IATI-IADB-AR-L1144,,,G1,,"Argentina, AV. HIP LITO YRIGOYEN 250, PISO 11, OF. 1114, CIUDAD AUT NOMA DE BUENOS AIRES",,,,,es,"-34.60890000435,",-58.370220036418,,,,G1,1,7,
XI-IATI-IADB-AR-L1330,,,G1,,"Argentina, GODOY CRUZ 2370, 4TO PISO, CIUDAD AUTONOMA DE BUENOS AIRES",,,,,es,"-34.586813161196,",-58.432852331743,,,,G1,1,7,
XI-IATI-IADB-AR-L1330,,,G1,,"Argentina, GODOY CRUZ 2320, CIUDAD AUTONOMA DE BUENOS AIRES",,,,,es,"-34.582561912841,",-58.42874372808,,,,G1,1,7,
